,address/zipcode
495,11693.0
496,11694.0
497,11693.0
498,11691.0
499,11694.0
500,11691.0
501,11691.0
502,11691.0
503,11691.0
504,11694.0
505,11693.0
506,11691.0
508,11694.0
509,11414.0
510,11691.0
511,10469.0
512,10466.0
522,11414.0
525,11693.0
526,11693.0
527,11693.0
530,11693.0
531,11693.0
532,11693.0
533,11414.0
534,11693.0
535,11693.0
536,11693.0
537,11693.0
539,11414.0
541,11693.0
542,11414.0
543,11693.0
545,11414.0
546,11693.0
548,11414.0
550,11693.0
552,11693.0
553,11414.0
555,11693.0
556,11693.0
557,11693.0
560,11693.0
561,11693.0
562,11414.0
566,11693.0
567,11693.0
570,11693.0
571,11414.0
572,11693.0
573,11414.0
580,11693.0
587,11693.0
588,11693.0
590,11414.0
592,11414.0
593,11693.0
594,11693.0
596,11693.0
598,11414.0
600,11414.0
602,11693.0
603,11414.0
604,11414.0
605,11414.0
608,11693.0
615,11691.0
616,11414.0
618,11691.0
620,11691.0
621,11691.0
624,11691.0
625,11691.0
627,11691.0
628,11691.0
629,11691.0
632,11691.0
633,11691.0
636,11691.0
640,11694.0
643,11691.0
645,11691.0
647,11694.0
648,11691.0
650,11691.0
652,11422.0
653,11697.0
654,11691.0
657,11694.0
658,11422.0
659,11694.0
660,11691.0
666,11694.0
669,11691.0
671,11422.0
673,11694.0
674,11694.0
676,11694.0
677,11691.0
678,11694.0
679,11691.0
681,11694.0
686,11422.0
687,11694.0
689,11691.0
690,11694.0
691,11691.0
693,11691.0
697,11694.0
698,11691.0
702,11694.0
704,11694.0
706,11694.0
708,11691.0
710,11691.0
711,11694.0
712,11694.0
713,11691.0
714,11694.0
715,11691.0
717,11422.0
718,11694.0
719,11691.0
720,11694.0
721,11691.0
722,11694.0
725,11691.0
726,11694.0
728,11694.0
729,11694.0
730,11691.0
734,11694.0
742,11694.0
745,11691.0
749,11691.0
750,11694.0
751,11691.0
754,11694.0
755,11422.0
757,11422.0
758,11694.0
759,11691.0
761,11691.0
762,11694.0
763,11691.0
767,11694.0
768,11691.0
769,11694.0
772,11691.0
775,11691.0
776,11694.0
777,11694.0
778,11422.0
784,11691.0
786,11691.0
788,11691.0
790,11691.0
791,11694.0
794,11691.0
795,11694.0
796,11694.0
797,11691.0
799,11691.0
801,11691.0
802,11694.0
803,11691.0
805,11691.0
807,11691.0
808,11694.0
810,11694.0
811,11691.0
813,11691.0
814,11694.0
817,11694.0
818,11691.0
819,11694.0
820,11422.0
824,11691.0
825,11694.0
827,11691.0
830,11694.0
831,11691.0
832,11694.0
833,11691.0
834,11694.0
835,11694.0
836,11694.0
837,11691.0
839,11694.0
841,11694.0
843,11694.0
849,11691.0
850,11694.0
851,11691.0
852,11694.0
854,11694.0
855,11691.0
856,11694.0
857,11422.0
858,11691.0
859,11694.0
860,11691.0
864,11694.0
870,11422.0
871,11694.0
873,11691.0
876,11691.0
877,11694.0
879,11691.0
880,11422.0
881,11691.0
882,11694.0
886,11691.0
887,11694.0
889,11691.0
890,11694.0
891,11422.0
895,11691.0
896,11694.0
898,11694.0
899,11691.0
901,11691.0
906,11691.0
907,11694.0
908,11691.0
909,11691.0
910,11694.0
912,11694.0
913,11422.0
916,11691.0
921,11691.0
922,11691.0
924,11691.0
926,11694.0
927,11422.0
928,11691.0
929,11694.0
930,11691.0
931,11691.0
933,11691.0
937,11691.0
938,11694.0
939,11694.0
940,11691.0
941,11694.0
951,11694.0
952,11691.0
958,11694.0
960,11691.0
962,11691.0
963,11694.0
964,11691.0
968,11691.0
969,11694.0
971,11691.0
973,11691.0
974,11691.0
976,11691.0
978,11691.0
981,11694.0
982,11691.0
983,11691.0
987,11691.0
990,11422.0
991,11691.0
992,11691.0
993,11694.0
994,11559.0
995,11691.0
999,11422.0
1000,11691.0
1002,11694.0
1006,11691.0
1007,11691.0
1014,11694.0
1018,11694.0
1019,11691.0
1021,11691.0
1024,11691.0
1030,11694.0
1033,11691.0
1034,11694.0
1036,11691.0
1037,11694.0
1041,11694.0
1042,11422.0
1044,11691.0
1045,11694.0
1046,11691.0
1047,11691.0
1049,11691.0
1059,10006.0
1063,10280.0
1065,11691.0
1066,11691.0
1067,10280.0
1068,11694.0
1069,11691.0
1071,11694.0
1072,10004.0
1074,11691.0
1076,11694.0
1077,10032.0
1078,10032.0
1081,10032.0
1085,10033.0
1086,10453.0
1087,10040.0
1088,10033.0
1089,10452.0
1090,10452.0
1096,10453.0
1097,10453.0
1100,10453.0
1103,10453.0
1104,10453.0
1105,10033.0
1106,10033.0
1107,10033.0
1108,10032.0
1109,10453.0
1111,10453.0
1113,10452.0
1115,10453.0
1116,10027.0
1117,10453.0
1118,10027.0
1119,10453.0
1120,10032.0
1121,10456.0
1122,10031.0
1124,10452.0
1125,10031.0
1126,10453.0
1127,10030.0
1129,10031.0
1133,10453.0
1134,10027.0
1135,10452.0
1136,10027.0
1137,10453.0
1138,10030.0
1139,10031.0
1142,10457.0
1145,10031.0
1147,10453.0
1148,10030.0
1149,10452.0
1150,10452.0
1151,10031.0
1153,10031.0
1156,10027.0
1159,10031.0
1160,10453.0
1164,10031.0
1166,10030.0
1168,10031.0
1169,10031.0
1170,10453.0
1171,10027.0
1172,10453.0
1173,10030.0
1174,10453.0
1176,10030.0
1177,10033.0
1178,10031.0
1179,10453.0
1180,10027.0
1181,10452.0
1184,10030.0
1186,10030.0
1188,10453.0
1189,10031.0
1190,10452.0
1191,10031.0
1196,10452.0
1197,10031.0
1198,10033.0
1199,10033.0
1200,10030.0
1201,10452.0
1202,10027.0
1204,10031.0
1205,10033.0
1206,10031.0
1209,10453.0
1211,10453.0
1213,10453.0
1214,10031.0
1216,10030.0
1217,10453.0
1218,10027.0
1219,10033.0
1221,10452.0
1222,10030.0
1224,10030.0
1228,10453.0
1230,10031.0
1231,10033.0
1233,10030.0
1234,10452.0
1235,10027.0
1237,10031.0
1238,10452.0
1239,10030.0
1241,10030.0
1242,10452.0
1243,10031.0
1244,10027.0
1245,10453.0
1246,10027.0
1247,10453.0
1248,10030.0
1249,10031.0
1250,10452.0
1251,10030.0
1252,10452.0
1253,10464.0
1254,10452.0
1255,10031.0
1256,10464.0
1257,10033.0
1258,10464.0
1262,10464.0
1263,10040.0
1264,10031.0
1265,10453.0
1266,10464.0
1267,10033.0
1268,10464.0
1269,10030.0
1270,10033.0
1271,10032.0
1272,10464.0
1275,10027.0
1277,10453.0
1278,10032.0
1279,10464.0
1281,10030.0
1284,10031.0
1285,10464.0
1288,10454.0
1289,10454.0
1290,10027.0
1291,10029.0
1292,10035.0
1293,10035.0
1294,10037.0
1295,10035.0
1296,10454.0
1297,10035.0
1298,10035.0
1299,10029.0
1300,10035.0
1301,10035.0
1303,10029.0
1305,10035.0
1306,10035.0
1307,10035.0
1308,10029.0
1309,10035.0
1310,10035.0
1311,10035.0
1313,10037.0
1316,10035.0
1317,10035.0
1324,10035.0
1326,10029.0
1329,10035.0
1330,10454.0
1333,10454.0
1335,10454.0
1336,10454.0
1339,10454.0
1347,10454.0
1349,10029.0
1351,10037.0
1357,10454.0
1359,10454.0
1365,10037.0
1366,10474.0
1367,10454.0
1371,10454.0
1372,10455.0
1377,10035.0
1384,10029.0
1385,10035.0
1386,10029.0
1389,11222.0
1390,10035.0
1391,11222.0
1392,10454.0
1393,11378.0
1394,10455.0
1395,10469.0
1396,10469.0
1397,10475.0
1398,10475.0
1402,10469.0
1404,10466.0
1406,10466.0
1408,10466.0
1410,10466.0
1413,10469.0
1414,10466.0
1415,10469.0
1416,10475.0
1417,10466.0
1419,10469.0
1420,10469.0
1421,10466.0
1426,10466.0
1429,10466.0
1432,10466.0
1433,10475.0
1434,10469.0
1435,10466.0
1436,10466.0
1438,10466.0
1440,10469.0
1441,10469.0
1442,10469.0
1443,10469.0
1444,10466.0
1445,10466.0
1446,10469.0
1447,10469.0
1449,10475.0
1450,10475.0
1451,10469.0
1452,10475.0
1453,10469.0
1458,10469.0
1459,10466.0
1460,10475.0
1461,10475.0
1464,10466.0
1465,10466.0
1466,10466.0
1467,10466.0
1470,10466.0
1471,10466.0
1472,10469.0
1473,10469.0
1474,10466.0
1475,10475.0
1476,10475.0
1477,10469.0
1478,10469.0
1479,10469.0
1480,10475.0
1481,10475.0
1482,10466.0
1483,10466.0
1486,10469.0
1487,10475.0
1488,10469.0
1490,10469.0
1491,10469.0
1492,10469.0
1493,10466.0
1494,10466.0
1497,10466.0
1498,10469.0
1500,10469.0
1502,10469.0
1503,10469.0
1504,10466.0
1505,10466.0
1508,10466.0
1509,10466.0
1510,10469.0
1512,10466.0
1513,10469.0
1514,10469.0
1516,10469.0
1518,10469.0
1519,10469.0
1520,10466.0
1521,10466.0
1522,10466.0
1523,10466.0
1526,10475.0
1527,10475.0
1532,10466.0
1533,10466.0
1538,10466.0
1539,10466.0
1540,10466.0
1541,10466.0
1542,10466.0
1544,10469.0
